Date,Open ,High,Low,Close,Adj Close,Volume
5-Sep-25,"110,723.02","113,357.49","110,233.40","110,650.98","110,650.98","60,241,647,677"
4-Sep-25,"111,718.15","112,208.33","109,347.23","110,723.60","110,723.60","60,131,132,901"
3-Sep-25,"111,190.70","112,600.23","110,582.96","111,723.21","111,723.21","61,119,643,565"
2-Sep-25,"109,243.07","111,748.02","108,454.03","111,200.59","111,200.59","74,776,999,491"
1-Sep-25,"108,228.75","109,890.59","107,271.18","109,250.59","109,250.59","66,870,372,995"
31-Aug-25,"108,818.46","109,491.00","108,104.66","108,236.71","108,236.71","47,986,191,770"
30-Aug-25,"108,409.41","108,929.35","107,444.45","108,808.07","108,808.07","51,486,264,208"
29-Aug-25,"112,550.52","112,619.05","107,559.63","108,410.84","108,410.84","77,843,379,644"
28-Aug-25,"111,219.05","113,450.08","110,900.92","112,544.80","112,544.80","58,860,155,962"
27-Aug-25,"111,795.71","112,619.41","110,398.27","111,222.06","111,222.06","62,137,056,409"
26-Aug-25,"110,124.10","112,397.02","108,762.04","111,802.66","111,802.66","69,396,320,317"
25-Aug-25,"113,456.90","113,637.84","109,324.28","110,124.35","110,124.35","85,706,860,190"
24-Aug-25,"115,387.39","115,615.09","111,060.55","113,458.43","113,458.43","73,961,489,632"
23-Aug-25,"116,866.37","116,996.25","114,536.11","115,374.33","115,374.33","55,377,142,586"
22-Aug-25,"112,433.73","117,377.40","111,678.95","116,874.09","116,874.09","82,528,088,240"
21-Aug-25,"114,275.69","114,802.65","111,986.23","112,419.03","112,419.03","57,817,883,700"
20-Aug-25,"112,828.02","114,625.80","112,387.96","114,274.74","114,274.74","67,993,811,526"
19-Aug-25,"116,241.86","116,764.50","112,730.40","112,831.18","112,831.18","71,657,600,353"
18-Aug-25,"117,453.91","117,614.17","114,723.68","116,252.31","116,252.31","72,787,808,090"
17-Aug-25,"117,492.79","118,595.77","117,279.52","117,453.06","117,453.06","45,852,169,525"
16-Aug-25,"117,398.42","117,996.06","117,271.95","117,491.35","117,491.35","48,036,922,378"
15-Aug-25,"118,365.78","119,332.31","116,864.57","117,398.35","117,398.35","68,665,353,159"
14-Aug-25,"123,339.40","124,457.12","117,254.88","118,359.58","118,359.58","104,055,627,395"
13-Aug-25,"120,168.98","123,682.45","118,939.63","123,344.06","123,344.06","90,904,808,795"
12-Aug-25,"118,717.66","120,302.47","118,228.72","120,172.91","120,172.91","72,803,657,984"
11-Aug-25,"119,306.81","122,321.09","118,159.03","118,731.45","118,731.45","90,528,784,177"
10-Aug-25,"116,497.72","119,320.71","116,485.16","119,306.76","119,306.76","64,755,458,694"
9-Aug-25,"116,678.27","117,906.61","116,363.84","116,500.36","116,500.36","54,004,312,429"
8-Aug-25,"117,505.50","117,689.20","115,917.46","116,688.73","116,688.73","59,713,005,166"
